Index,GPS time,EKF Temp,EKF Tick,EKF Raw Z Gyro,EKF Raw X Gyro,EKF Raw Y Gyro,EKF Raw X Accel,EKF Raw Y Accel,EKF Raw Z Accel,EKF Tick SF,EKF Gyro SF,EKF Gyro Bias,EKF Tick SF Calib,EKF Gyro SF Calib,EKF Gyro B Calib
217,,32.28,,2.46,-1.21,-3.35,-9.73,-2.70,3.32,,,,,,
218,,32.27,,-1.24,0.74,3.10,-9.35,-1.94,3.19,,,,,,
219,2018:522667.000,32.28,,1.97,1.42,-4.49,-9.37,-2.03,3.06,,,,,,
220,2018:522667.000,,,,,,,,,,,,,,
221,2018:522667.000,32.26,,0.17,-0.66,1.80,-9.63,-1.93,3.15,,,,,,
222,,32.27,,5.01,-0.37,4.34,-9.50,-2.73,3.50,,,,,,
223,,32.27,,-1.19,1.23,2.69,-9.63,-2.79,3.51,,,,,,
224,2018:522668.000,32.26,,-10.33,0.33,-3.16,-9.83,-2.38,3.48,,,,,,
225,2018:522668.000,,,,,,,,,,,,,,
226,2018:522668.000,32.27,,-3.21,3.86,-1.86,-9.20,-2.62,3.54,,,,,,
227,,32.25,,-3.30,5.07,-2.96,-9.02,-2.29,3.24,,,,,,
228,,32.26,,32.04,-3.64,1.20,-7.38,-2.01,1.93,,,,,,
229,2018:522669.000,,,,,,,,,,,,,,
230,2018:522669.000,32.26,,-25.40,8.10,-33.43,-8.07,-2.60,3.16,,,,,,
231,,32.27,,2.63,0.85,-1.42,-8.24,-1.86,2.68,,,,,,
232,,32.26,,-7.83,-1.59,0.54,-9.97,-2.76,3.35,,,,,,
233,2018:522670.000,32.26,,5.68,-6.44,-7.10,-9.08,-3.12,3.13,,,,,,
234,2018:522670.000,,,,,,,,,,,,,,
235,,32.26,,4.22,-0.47,0.35,-9.27,-3.21,3.09,,,,,,
236,,32.27,,1.32,2.18,-6.00,-8.98,-3.00,2.62,,,,,,
237,2018:522671.000,32.28,,-0.42,0.91,6.30,-9.35,-2.78,3.14,,,,,,
238,2018:522671.000,,,,,,,,,,,,,,
239,2018:522671.000,32.27,,6.07,0.05,-1.34,-9.71,-2.98,3.23,,,,,,
